智人 Homo
灰长臂猿 Hylobates
金丝猴 Rhinopithecus
麻雀 Passer
帝企鹅 Aptenodytes
美洲鳄 Crocodylus
美西螈 Ambystoma
电鳗 Electrophorus
日本真鲈 Lateolabrax
虎 Panthera
狮 Panthera
豹 Panthera
家猫 Felis
家狗 Canis
红狐 Vulpes
北极狐 Vulpes
非洲象 Loxodonta
海星 Asteroidea
穿山甲 Manidae
†奇翼龙 Yi
†霸王龙 Tyrannosaurus
†吉尔泰龙 Chilantaisaurus
†戈尔冈龙 Gorgosaurus
†阿尔伯脱龙 Albertosaurus
†慈母龙 Maiasaura
†风神翼龙 Quetzalcoatlus
†无齿翼龙 Pteranodon
†它蓓翼龙 Peteinosaurus
†平头龙 Homalocephale
†肿头龙 Pachycephalosaurus
†鸭龙 Edmontosaurus
†甲龙 Ankylosaurus
†三角龙 Triceratops
†戟龙 Styracosaurus
†棘龙 Spinosaurus
†薄板龙 Elasmosaurus
†恶霸龙 Daspletosaurus
